direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://CsInheritanceTest/Downcall/DerivedType;cs+class://CsInheritanceTest/Downcall/BaseType;SecondDowncallCandidate;cs+class://CsInheritanceTest/Downcall/Reuse/DirectDowncall
False;MethodCall;cs+class://CsInheritanceTest/Downcall/MoreDerivedType;cs+class://CsInheritanceTest/Downcall/DerivedType;SecondDowncallCandidate;cs+class://CsInheritanceTest/Downcall/Reuse/IndirectDowncall
True;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;publicBaseField;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser/ExternalReuseThroughFieldAssignment
True;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;publicBaseField;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser/ExternalReuseThroughFieldAccess
True;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;array;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser/ExternalReuseThroughArrayValueAssignment
True;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;array;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser/ExternalReuseThroughArrayValueAccess
True;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/BaseType;publicBaseField;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser/ExternalReuseSplitDeclarationAndAssignment
False;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;publicBaseField;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser/IndirectExternalReuseThroughFieldAssignment
False;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;publicBaseField;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser/IndirectExternalReuseThroughFieldAccess
False;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;array;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser/IndirectExternalReuseThroughArrayValueAssignment
False;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;array;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser/IndirectExternalReuseThroughArrayValueAccess
False;FieldAccess;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/FieldAccess/DerivedType;publicBaseField;cs+class://CsInheritanceTest/ExternalReuse/MoreNested/TestTwoAccessOccurrances
True;MethodCall;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType;cs+class://CsInheritanceTest/InternalReuse/MethodCall/BaseType;ConcreteDeclaredInBase;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser2/DirectExternalConcreteReuse
False;MethodCall;cs+class://CsInheritanceTest/InternalReuse/MethodCall/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType;ConcreteDeclaredInBase;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser2/IndirectExternalConcreteReuse
True;MethodCall;cs+class://CsInheritanceTest/InternalReuse/MethodCall/MoreDerivedType;cs+class://CsInheritanceTest/InternalReuse/MethodCall/DerivedType;AbstractDeclaredInBase;cs+class://CsInheritanceTest/ExternalReuse/ExternalReuser2/IndirectExternalAbstractReuse
