direct?;source;from;to;from declaration
True;Cast;cs+class://Microsoft/DbContextPackage/Utilities/EfTextTemplateHost;cs+interface://Microsoft/VisualStudio/TextTemplating/ITextTemplatingEngineHost;LoadIncludeText in Microsoft.DbContextPackage.Utilities.EfTextTemplateHost
True;Parameter;cs+class://Microsoft/DbContextPackage/Utilities/EfTextTemplateHost;cs+interface://Microsoft/VisualStudio/TextTemplating/ITextTemplatingEngineHost;Process in Microsoft.DbContextPackage.Utilities.TemplateProcessor
True;VariableInitializer;cs+class://Microsoft/DbContextPackage/Utilities/EfTextTemplateHost;cs+interface://Microsoft/VisualStudio/TextTemplating/ITextTemplatingEngineHost;StandardAssemblyReferences_includes_basic_references in Microsoft.DbContextPackage.Utilities.EfTextTemplateHostTests
True;VariableInitializer;cs+class://Microsoft/DbContextPackage/Utilities/EfTextTemplateHost;cs+interface://Microsoft/VisualStudio/TextTemplating/ITextTemplatingEngineHost;StandardImports_includes_basic_imports in Microsoft.DbContextPackage.Utilities.EfTextTemplateHostTests
True;Cast;cs+class://Microsoft/DbContextPackage/Utilities/EfTextTemplateHost;cs+interface://Microsoft/VisualStudio/TextTemplating/ITextTemplatingEngineHost;LogErrors_sets_Errors in Microsoft.DbContextPackage.Utilities.EfTextTemplateHostTests
True;VariableInitializer;cs+class://Microsoft/DbContextPackage/Utilities/EfTextTemplateHost;cs+interface://Microsoft/VisualStudio/TextTemplating/ITextTemplatingEngineHost;Resolves_absolute_paths in Microsoft.DbContextPackage.Utilities.EfTextTemplateHostTests.ResolvePath
True;VariableInitializer;cs+class://Microsoft/DbContextPackage/Utilities/EfTextTemplateHost;cs+interface://Microsoft/VisualStudio/TextTemplating/ITextTemplatingEngineHost;Resolves_relative_paths_when_TemplateFile_absolute in Microsoft.DbContextPackage.Utilities.EfTextTemplateHostTests.ResolvePath
True;VariableInitializer;cs+class://Microsoft/DbContextPackage/Utilities/EfTextTemplateHost;cs+interface://Microsoft/VisualStudio/TextTemplating/ITextTemplatingEngineHost;Returns_original_path_when_unresolvable in Microsoft.DbContextPackage.Utilities.EfTextTemplateHostTests.ResolvePath
True;Cast;cs+class://Microsoft/DbContextPackage/Utilities/EfTextTemplateHost;cs+interface://Microsoft/VisualStudio/TextTemplating/ITextTemplatingEngineHost;SetFileExtension_sets_FileExtension in Microsoft.DbContextPackage.Utilities.EfTextTemplateHostTests
True;Cast;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+interface://Microsoft/DbContextPackage/Utilities/IViewGenerator;OptimizeContextEF6 in Microsoft.DbContextPackage.Handlers.OptimizeContextHandler
